TEXT,LABEL1,LABEL2
Welche gesundheitlichen Langzeitfolgen von COVID-19 bzw. Symptome von Long COVID werden berichtet?,Allgemein,
Wie häufig treten gesundheitliche Langzeitfolgen bzw. Long COVID auf? Sind auch Erkrankte mit milden Verläufen betroffen?,Allgemein,
"Welche Menschen haben ein erhöhtes Risiko, gesundheitliche Langzeitfolgen bzw. Long COVID zu entwickeln?",Allgemein,
Können auch Kinder von gesundheitlichen Langzeitfolgen bzw. Long COVID betroffen sein?,Kinder,Allgemein
Wie kann man als Einzelperson gesundheitlichen Langzeitfolgen von COVID-19 bzw. Long COVID vorbeugen?,Allgemein,
"Wo finden Menschen, die an (Langzeit-)Folgen von COVID-19 leiden, weitere Informationen und Hilfe?",Allgemein,
Welche Personen sind besonders häufig von einem schweren Verlauf der Erkrankung betroffen?,Allgemein,
Ist die Blutgruppe ein Risikofaktor für COVID-19?,Allgemein,
Was ist über COVID-19 bei Schwangeren bekannt?,Allgemein,
Was ist über COVID-19 bei Kindern bekannt?,Kinder,Allgemein
Wie lange ist man nach einer Infektion mit SARS-CoV-2 ansteckend?,Allgemein,
Können auch junge Personen ohne Vorerkrankungen schwer an COVID-19 erkranken?,Allgemein,
Welche Behandlungsmöglichkeiten stehen für das Coronavirus SARS-CoV-2 zur Verfügung?,Allgemein,
Ist man nach einer durchgemachten Erkrankung an COVID-19 geschützt?,Allgemein,
"Bei mir wurden Antikörper nachgewiesen. Bedeutet dies, dass ich immun bin und mich und andere nicht mehr anstecken kann?",Allgemein,
"Wie unterscheiden sich die Krankheitszeichen von Erkältung, Grippe und COVID-19?",Allgemein,
Welche Rollen spielen die neuen Varianten des Coronavirus SARS-CoV-2?,Allgemein,
Wie ist die aktuelle Situation in $SuL?,Allgemein,
Wie ist die aktuelle Situation in $ORT?,Allgemein,
Wie ist die aktuelle Situation in $AKTI?,Allgemein,
Wie ist die aktuelle Situation in $VER?,Allgemein,
Wie ist die aktuelle Situation in $SPORT?,Sport,
Wie ist die aktuelle Situation in $GASTRO?,Gastro,
Wie ist die aktuelle Situation in $KULTUR?,Kultur,
Wie ist die aktuelle Situation in $REISEN?,Reisen,
Wo gibt es die aktuellen Erkrankungszahlen?,Allgemein,
Werden die Erkrankungszahlen durch die wachsende Anzahl an Antigen-Schnelltests verzerrt?,Allgemein,
Werden die Erkrankungszahlen durch die wachsende Anzahl an Antigen-Schnelltests verzerrt?,Allgemein,
Werden die Erkrankungszahlen durch die wachsende Anzahl an Antigen-Schnelltests verzerrt?,Allgemein,
Wie kann es zu unterschiedlichen Zahlenangaben zu Neuerkrankungen zwischen einzelnen Landkreisen und den Angaben des RKI-Dashboards kommen?,Allgemein,
Warum sind die Fallzahlen am Wochenende und zu Wochenbeginn häufig geringer?,Allgemein,
Was bedeutet ein exponentielles Wachstum der Fallzahlen?,Allgemein,
Was versteht man unter der Reproduktionszahl und wie wichtig ist sie für die Bewertung der Situation?,Allgemein,
Warum sind im Zusammenhang mit COVID-19 so weitreichende Maßnahmen erforderlich?,Allgemein,
Hängt die Aktivität von SARS-CoV-2 von den Jahreszeiten ab (Saisonalität)?,Allgemein,
Welchen Zusammenhang gibt es zwischen erhöhten Testzahlen und erhöhten Fallzahlen?,Allgemein,
Was ist über die Ursache dieses Ausbruchs bekannt?,Allgemein,
"Welche Aussagekraft hat die 7-Tage-Inzidenz, wenn immer mehr Menschen gegen COVID-19 geimpft sind?",Allgemein,
Was bedeutet eine 7-Tage-Inzidenz von Null?,Allgemein,
"Was versteht man unter Isolierung, was unter Quarantäne?",Allgemein,
Welchen Zweck erfüllt eine Quarantäne bzw. eine häusliche Absonderung?,Allgemein,
Wann muss man in Quarantäne?,Allgemein,
Wer muss wie lange in Quarantäne?,Allgemein,
"Was wird empfohlen bei Genesenen, die Kontakt zu einer erkrankten Person hatten?",Allgemein,
"Welche Hygienemaßnahmen sind zu beachten, wenn an COVID-19 Erkrankte zu Hause betreut werden?",Allgemein,
Was ist bei Quarantäne von Kindern mit Verdacht auf eine Infektion mit SARS-CoV-2 zu beachten?,Kinder,Allgemein
Wann kann ich eine häusliche Quarantäne oder eine häusliche Isolierung wieder verlassen?,Allgemein,
Wer wird auf das Coronavirus SARS-CoV-2 getestet?,Testen,
"Warum sollte ich mich testen lassen, wenn ich keine Symptome habe bzw. ich mich gesund fühle?",Testen,
Welche Tests stehen für die Testung auf das Coronavirus SARS-CoV-2 zur Verfügung?,Testen,
Was ist ein PCR-Test und welche Rolle spielt er?,Testen,
"Sind PCR-Pooltestungen eine Alternative zu Antigen-Tests bei bestimmten Personengruppen, wie bei Kindern in Kitas und Schulen?",Testen,
Kann das Ergebnis eines PCR-Tests falsch sein?,Testen,
"Welche Rolle spielen PCR-Testergebnisse, die fälschlicherweise eine Ansteckung feststellen?",Testen,
Was ist ein Antigen-Schnelltest und welche Rolle spielt er?,Testen,
Wo kann ich kostenlose Antigen-Schnelltests durchführen lassen und muss ich mich dafür anmelden?,Testen,
Wie geht es nach einem positiven Ergebnis im Antigen-Schnelltest weiter?,Testen,
Welche Corona-Tests kann ich als Privatperson selbst durchführen?,Testen,
Was ist ein Antigen-Selbsttest und welche Rolle spielt er?,Testen,
Habe ich nach einem positiven Antigen-Selbsttest Anspruch auf einen PCR-Test?,Testen,
Was ist bei einem negativen Ergebnis bei Antigen-Schnelltests und Antigen-Selbsttests zu beachten?,Testen,
Kann ich mich auf die Ergebnisse der Antigen-Schnelltests und Antigen-Selbsttests verlassen?,Testen,
Welche Rolle spielt das Infektionsgeschehen für die Richtigkeit der Testergebnisse auf das Coronavirus SARS-CoV-2?,Testen,
Was ist ein Antikörper-Test und welche Rolle spielt er?,Testen,
Welche Reisehinweise sind während der Corona-Pandemie vor Auslandsreisen zu beachten?,Reisen,
Was muss ich bei der Einreise nach Deutschland beachten?,Reisen,
"Was wird bei der Einreise als negativer Test-, Impf- oder Genesenennachweis anerkannt?",Reisen,
Was sind Hochrisikogebiete und Virusvariantengebiete?,Reisen,
"Wie erfahre ich, ob ich aus einem Hochrisiko- oder Virusvariantengebiet einreise?",Reisen,
Was muss ich bei der Einreise aus einem Hochrisikogebiet beachten?,Reisen,
Was muss ich bei der Einreise aus einem Virusvariantengebiet beachten?,Reisen,
Was gilt für Kinder bei der Einreise nach Deutschland?,Reisen,
Wer wird mit welchem Impfstoff geimpft?,Impfung,
Wie sollte die Corona-Schutzimpfung erfolgen?,Impfung,
"Wie erfahren Bürgerinnen und Bürger von der Möglichkeit, sich impfen zu lassen?",Impfung,
Wo kann ich mich impfen lassen?,Impfung,
Kann man sich den Impfstandort aussuchen?,Impfung,
"Besteht die Möglichkeit, Menschen, die nicht mobil sind zuhause zu impfen?",Impfung,
Wer bezahlt die Corona-Schutzimpfung?,Impfung,
Welcher Nachweis muss für eine Impfung vorgelegt werden?,Impfung,
Ich habe meinen Impfpass verloren. Kann ich mich dann gegen Covid-19 impfen lassen?,Impfung,
Kann man zwischen Impfstoffen frei wählen?,Impfung,
Kann ich mich vor oder nach einer Operation gegen SARS-CoV-2 impfen lassen? Wieviel Abstand sollte zwischen Impfung und Operation eingehalten werden?,Impfung,
Was muss ich vor der Corona-Schutzimpfung beachten?,Impfung,
Was sollte ich nach der Corona-Schutzimpfung beachten?,Impfung,
Muss ich vor der Corona-Schutzimpfung einen COVID-19-Test machen?,Impfung,
Muss ich vor der Corona-Schutzimpfung einen COVID-19-Test machen?,Impfung,
"Was passiert, wenn ich zu meinem Impftermin krank bin?",Impfung,
"Was mache ich mit meinem gebuchten Impftermin, wenn sich mir ein anderer bietet?",Impfung,
"Muss ich Urlaub nehmen, wenn ich mich während der Arbeitszeit impfen lassen muss?",Impfung,
Muss ich mich zwei Mal impfen lassen?,Impfung,
Warum ist die Zweitimpfung so wichtig?,Impfung,
Muss eine COVID-19-Impfung zu einem späteren Zeitpunkt aufgefrischt werden?,Impfung,
Wann ist eine Auffrischungsimpfung sinnvoll?,Impfung,
Könnte nach einer abgeschlossenen Impfserie eine spätere Auffrischimpfung mit einem anderen COVID-19-Impfstoff erfolgen?,Impfung,
Wie weise ich eine erhaltene Impfung gegen Covid-19 nach? Reicht die Bestätigung aus dem Impfzentrum oder muss es ein Impfpass sein?,Impfung,
"Welche organisatorischen Möglichkeiten haben die Bundesländer vor Ort, die weiteren Gruppen mit den verschiedenen Impfstoffen zu impfen?",Impfung,
"Gibt es für bestimmte Patientengruppen besondere Empfehlungen, welcher konkrete Impfstoff verabreicht werden sollte?",Impfung,
"Ich werde mit Kortison behandelt, was muss ich beachten?",Impfung,
Wie lang beträgt die Nachbeobachtungszeit nach der Corona-Schutzimpfung?,Impfung,
Warum sollte man vor und nach der Corona-Schutzimpfung keinen Alkohol trinken?,Impfung,
Werden die Impfstoffe kalt in den Körper verabreicht?,Impfung,
"Was passiert, wenn ich den Termin für die Zweitimpfung vergesse oder nicht wahrnehmen kann?",Impfung,
"Ich habe meinen ersten Impftermin wahrgenommen, kann den zweiten Impftermin aber nicht im selben Impfzentrum oder in derselben Arztpraxis durchführen?",Impfung,
Sollte der Impferfolg nach einer COVID-19-Impfung mittels Antikörperbestimmung überprüft werden?,Impfung,
"Können Menschen, die vollständig geimpft sind, das Virus weiterhin übertragen?",Impfung,
Warum sollten auch COVID-19-geimpfte Personen die Infektionsschutzmaßnahmen weiterhin beachten?,Impfung,
Was sind Auffrischungsimpfungen?,Impfung,
Was ist das Ziel der Auffrischungsimpfung?,Impfung,
Wem soll das Angebot einer Auffrischungsimpfung gemacht werden?,Impfung,
Wer darf Auffrischungsimpfungen vornehmen?,Impfung,
Warum werden nur mRNA-Impfstoffe für die Auffrischungsimpfungen verwendet?,Impfung,
"Sind die Impfstoffe, die für die Auffrischungsimpfung verwendet werden (mRNA-Impfstoffe), an die neuen Virusvarianten angepasst?",Impfung,
Wie ist der wissenschaftliche Kenntnisstand der Ständigen Impfkommission (STIKO) zu den Themen Immunität und Impfabstände für Auffrischungsimpfungen?,Impfung,
Lässt der Schutz gegen das Coronavirus nach einer vollständigen Impfung nach?,Impfung,
"Sind Impfschäden abgesichert, auch wenn die Ständige Impfkommission (STIKO) die Auffrischungsimpfungen bislang nicht empfiehlt?",Impfung,
"Wie wird eine Auffrischungsimpfung nachgewiesen und wie ist der rechtliche Status einer Auffrischimpfung, zum Beispiel beim Reisen?",Impfung,Reisen
Wird für die zukünftige Festlegung von Auffrischungsimpfungen und Impfabständen auch die Höhe von Antikörpern berücksichtigt?,Impfung,
"Wie lange behalten Personen, die nach Erst- und Zweitimpfung vollständig immunisiert sind, aber einer Auffrischungsimpfung nicht zustimmen, den Status als „Geimpfte“ oder „Geimpfter“?",Impfung,
Wird im Rahmen der Auffrischungsimpfung auch eine Anpassung der COVID-19-Schutzmaßnahmen-Ausnahmenverordnung vorgenommen?,Impfung,
Entspricht die einmalige Verimpfung von mRNA-Impfstoffen im Rahmen der Auffrischungsimpfung der Impfstoffzulassung?,Impfung,
"Ist genügend Impfstoff in Deutschland vorhanden, um die Auffrischungsimpfungen ab September 2021 durchführen zu können?",Impfung,
"Müssen die Daten der Auffrischungsimpfung im Rahmen des Digitalen Impfmonitorings (DIM) an das Robert Koch-Institut (RKI) übermittelt werden? Falls ja, wie werden die Daten übertragen?",Impfung,
Ist die Auffrischungsimpfung kostenlos?,Impfung,
"Schließt die Auffrischungsimpfung in Pflegeeinrichtungen, Einrichtungen der Eingliederungshilfe und weiteren Einrichtungen mit vulnerablen Gruppen auch die Impfung von Pflegekräften oder Krankenhauspersonal mit ein?",Impfung,
"Wird auch pflegenden Angehörigen, Beschäftigten in Kitas oder ähnlichen Einrichtungen eine Auffrischungsimpfung angeboten?",Impfung,Kinder
Mit welchen Impfstoffen können Kinder geimpft werden?,Impfung,Kinder
Gibt es eine Impfempfehlung für Kinder gegen COVID-19?,Impfung,Kinder
Welchen Kindern und Jugendlichen wird die COVID-19-Schutzimpfung besonders empfohlen?,Impfung,Kinder
Bei welchen Vorerkrankungen empfiehlt die Ständige Impfkommission die Corona-Schutzimpfung ab 12 Jahren?,Impfung,Kinder
Wie wirksam ist die Corona-Schutzimpfung für Kinder und Jugendliche?,Impfung,Kinder
Welche Impfreaktionen wurden nach einer COVID-19-Impfung bei Kindern und Jugendlichen beobachtet?,Impfung,Kinder
Welche Nebenwirkungen können nach der Corona-Schutzimpfung bei Kinder und Jugendliche auftreten?,Impfung,Kinder
Welche Erkenntnisse bestehen zu Long COVID und PIMS bei Kindern und Jugendlichen?,Impfung,Kinder
Wird es einen eigenen Impfstoff für Kinder gegen COVID-19 geben?,Impfung,Kinder
Welche Rolle spielt der Bevölkerungsschutz bei der Corona-Schutzimpfung der Kinder und Jugendlichen ab 12 Jahren?,Impfung,Kinder
Gibt es Vorgaben für die Impfung der Jüngeren?,Impfung,Kinder
"Wer haftet im Falle eines Impfschadens nach einer Corona-Schutzimpfung von Kindern, für die keine STIKO-Empfehlung vorliegt?",Impfung,Kinder
Wer hat Anspruch auf eine Impfung bei der Betriebsärztin oder beim Betriebsarzt?,Impfung,Arbeit
"Wie entscheiden Betriebsärztinnen oder Betriebsärzte, welche Mitarbeiterinnen und Mitarbeiter zuerst geimpft werden können?",Impfung,Arbeit
Wie läuft die Impfaufklärung vor der Corona-Schutzimpfung genau ab? Was sollten Betriebsärztinnen und Betriebsärzte beachten?,Impfung,Arbeit
Gibt es Nebenwirkungen und Risiken? Inwieweit haften impfende Ärztinnen und Ärzte für Impfschäden?,Impfung,
Wie werden die Impfstoffe gelagert? Was muss ich zur Haltbarkeit wissen?,Impfung,
Wo können impfende Betriebsärztinnen und Betriebsärzte die genaue Handhabung zu den verschiedenen Impfstoffen nachlesen?,Impfung,Arbeit
Worauf sollte ich nach verabreichter Corona-Schutzimpfung bei den Mitarbeiterinnen und Mitarbeitern achten?,Impfung,Arbeit
Wie laufen die Bestellung und Lieferung des Impfstoffs für die Durchführung von Corona-Schutzimpfungen in Betrieben ab?,Impfung,Arbeit
Seit wann wird in Arztpraxen geimpft?,Impfung,
Wie läuft das Verteilungssystem?,Impfung,
Wer wird in Arztpraxen geimpft und wie kommt man an einen Impftermin?,Impfung,
Gilt die Aufhebung der Priorisierung auch für die Impfungen in den Arztpraxen?,Impfung,
Wer hat Anspruch auf die Corona-Schutzimpfung?,Impfung,
"Wie entscheiden Ärztinnen oder Ärzte, welche Patientinnen und Patienten zuerst geimpft werden können?",Impfung,
Wie dokumentieren Ärztinnen und Ärzte die Corona-Schutzimpfung?,Impfung,
Wie werden die Apotheken und Großhändler vergütet?,Impfung,
Was müssen Arztpraxen vorhalten?,Impfung,
"Ist ausreichend Impfzubehör auf dem Markt verfügbar, um kurzfristig alle teilnehmenden Arztpraxen damit auszustatten?",Impfung,
"Was müssen die Arztpraxen organisatorisch leisten (Impfsprechstunde, extra Warteräume)?",Impfung,
Können Ärztinnen und Ärzte für Ihre Praxis auch unterschiedliche Mengen verschiedener Impfstoffe bestellen?,Impfung,
Dürfen nur die niedergelassenen Ärztinnen und Ärzte impfen?,Impfung,
Müssen die Ärztinnen und Ärzte Dosen für die Zweitimpfung zurückhalten?,Impfung,
"Kann ich mir bei der Vertragsärztin oder dem Vertragsarzt aussuchen, mit welchem Impfstoff ich geimpft werden möchte?",Impfung,
Wie hoch ist die Vergütung für ärztliche Leistungen bei der Corona-Schutzimpfung?,Impfung,
Welche Daten müssen in Verbindung mit der Corona-Schutzimpfung durch Arztpraxen gemeldet werden?,Impfung,
Wie erfolgt die Abrechnung der Corona-Schutzimpfungen?,Impfung,
"Welche Möglichkeiten gibt es, eine erfolgte Impfung nachzuweisen?",Impfung,
Welche Formen des Impfnachweises werden akzeptiert?,Impfung,
Welche Daten muss der Impfnachweis enthalten?,Impfung,
Werden die roten und weißen Impfpässe noch anerkannt?,Impfung,
Muss die Corona-Schutzimpfung in einem gelben Impfpass dokumentiert sein?,Impfung,
Wie und wo kann ich einen Impfpass erhalten?,Impfung,
"Ich wurde im Impfzentrum geimpft, habe eine Impfbescheinigung erhalten, diese aber verloren. Wie komme ich an einen Impfnachweis?",Impfung,
"Ich war an Corona erkrankt und benötige jetzt nur noch eine Auffrischungsimpfung. Wie kann ich nachweisen, dass ich nach der Auffrischung vollständig geimpft bin?",Impfung,
"Wie wird sichergestellt, dass die Informationen aus dem Impfausweis oder der Ersatzbescheinigung echt und nicht gefälscht sind?",Impfung,
Was ist der digitale Impfnachweis?,Impfung,
Wo finden Bürgerinnen und Bürger Informationen zur CovPass-App und dem Impfzertifikat?,Impfung,
Warum gibt es den digitalen Impfnachweis?,Impfung,
Wird es trotzdem noch den Impfausweis im Papierformat geben?,Impfung,
Wie funktioniert der digitale Impfnachweis?,Impfung,
Wo bekommt man den digitalen Impfnachweis?,Impfung,
Wie wird der digitale Impfnachweis geprüft?,Impfung,
Wer kann einen digitalen Impfnachweis erhalten?,Impfung,
Was ist das digitale COVID-Zertifikat der EU und wie erhalte ich es?,Impfung,
Wie funktioniert das COVID-Zertifikat der EU?,Impfung,
"Was ist mit Personen, die bereits geimpft sind? Bekommen diese auch einen digitalen Impfnachweis?",Impfung,
Bekommen Arztpraxen und Apotheken eine Vergütung für die Ausstellung der Impfnachweise?,Impfung,
Kann das Impfzertifikat mithilfe der Smartphone-Einstellungen manipuliert werden?,Impfung,
Wie soll ein Missbrauch mit dem digitalen Impfnachweis verhindert werden?,Impfung,
Ist das Impfzertifikat übertragbar?,Impfung,
"Kann man auch im digitalen Impfnachweis speichern, dass man bereits infiziert war oder negativ getestet wurde?",Impfung,
Wie lange ist das digitale Impfzertifikat gültig?,Impfung,
Wo werden Daten beim digitalen Impfnachweis gespeichert?,Impfung,
Ist ein zentrales Impfregister geplant?,Impfung,
Wie werden die digitalen Impfnachweise von Kindern gespeichert?,Impfung,
Welche Daten werden beim digitalen Impfnachweis gespeichert?,Impfung,
Wer hat den digitalen Impfnachweis entwickelt?,Impfung,
Kann man mit dem digitalen Impfnachweis innerhalb Europas problemlos reisen?,Impfung,
In welchen Sprachen kann der Impfnachweis vorgelegt werden?,Impfung,
Kann man mit dem digitalen Impfnachweis international problemlos reisen?,Impfung,Reisen
Was ist die 3G-Regel?,Allgemein,
Was dürfen Geimpfte und Genesene?,Allgemein,
Warum werden Genesene so behandelt wie Geimpfte?,Allgemein,
Warum bekommen Genesene und Geimpfte mehr Rechte als negativ Getestete?,Allgemein,
"Wann gelte ich als geimpft, genesen oder getestet?",Allgemein,
Warum gelten die neuen Regeln nicht bereits nach der ersten Impfung?,Allgemein,
Haben Personen nach einer gemischten Impfserie die gleichen Privilegien?,Allgemein,
"Wie kann ich nachweisen, dass ich genesen bin?",Allgemein,
"Wie kann ich nachweisen, dass ich geimpft bin?",Allgemein,
Warum gilt nur ein PCR-Test-Ergebnis als Nachweis einer durchgestandenen Infektion und nicht ein positiver Antikörpertest?,Allgemein,
"Was ist mit Personen, bei denen die Infektion bereits mehr als sechs Monate zurückliegt?",Allgemein,
Was müssen Genesene in Bezug auf das Thema Impfen und Testen beachten?,Allgemein,
Warum müssen Geimpfte und Genesene weiterhin bestimmte Vorsichtsmaßnahmen einhalten wie beispielsweise das Tragen einer Maske?,Allgemein,
Was müssen Geimpfte und Genesene beim Reisen beachten?,Allgemein,
Sind geimpfte Personen von Einschränkungen befreit?,Allgemein,
Müssen sich geimpfte Kinder in der Schule testen lassen?,Allgemein,
"Gibt es auch Erleichterungen der Corona-Schutzmaßnahmen für Personen, die nicht geimpft werden dürfen?",Allgemein,
